Scenario,F2 Mean,F2 Std,Recall Mean,Recall Std,Precision Mean,Precision Std,F1 Mean,F1 Std,Accuracy Mean,Accuracy Std
A: Fully Supervised,0.9947368421052631,0.007206875756646945,1.0,0.0,0.975,0.03423265984407289,0.9870967741935484,0.017668469596940826,0.9866666666666667,0.018257418583505533
B: Clustering Semi-Sup,0.8580772553375293,0.02808991848605855,0.8400000000000001,0.036514837167011066,0.9417582417582417,0.032644946763764705,0.8871373836891078,0.017092606672605898,0.8933333333333333,0.014907119849998594
C: Model Semi-Sup,0.9973684210526315,0.00588438941447315,1.0,0.0,0.9875,0.02795084971874737,0.9935483870967742,0.014426245016127662,0.9933333333333334,0.014907119849998594
