Scenario,F2 Mean,F2 Std,Recall Mean,Recall Std,Precision Mean,Precision Std,F1 Mean,F1 Std,Accuracy Mean,Accuracy Std
A: Fully Supervised,0.8397358943577432,0.04783789298296694,0.8400000000000001,0.0547722557505166,0.8414141414141415,0.0491328747758194,0.8398496240601505,0.04212539797844041,0.8400000000000001,0.04183300132670376
B: Clustering Semi-Sup,0.866530612244898,0.04582984664839145,0.86,0.0547722557505166,0.8955555555555555,0.006085806194501884,0.8768421052631579,0.0317102533292465,0.8800000000000001,0.02738612787525833
C: Model Semi-Sup,0.8564705882352941,0.052051345425009256,0.86,0.0547722557505166,0.8436363636363635,0.05198537620180289,0.8514285714285714,0.050101936905000505,0.85,0.04999999999999999
