Scenario,F2 Mean,F2 Std,Recall Mean,Recall Std,Precision Mean,Precision Std,F1 Mean,F1 Std,Accuracy Mean,Accuracy Std
A: Fully Supervised,0.964313725490196,0.03595246552058483,0.9800000000000001,0.04472135954999579,0.9072727272727272,0.004065578140908685,0.9419047619047619,0.023425474049997765,0.9400000000000001,0.02236067977499787
B: Clustering Semi-Sup,0.8964705882352941,0.007892004626469867,0.9,0.0,0.8836363636363636,0.03659020326817836,0.8914285714285715,0.01916629694999823,0.89,0.022360679774997918
C: Model Semi-Sup,0.9321568627450981,0.04403259776021921,0.9400000000000001,0.0547722557505166,0.9036363636363637,0.0049792959773196635,0.9209523809523811,0.028690229202651518,0.9200000000000002,0.027386127875258272
